reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.14,-22.57142857,3.00,3.14,828.7142857,1.285714286,4.428571429,564.1428571,0.142857143,4.571428571,-11246.85714,-2.714285714,1.857142857,1022.285714,3.5,-2207.928571,1,3.34
0.71,121.7142857,-0.57,0.14,30.71428571,0.571428571,0.714285714,75.28571429,-0.428571429,0.285714286,17,-0.285714286,0,0,0.285714286,30.75,1,1.50
0.14,4.714285714,-0.14,0.00,0,0.142857143,0.142857143,9.571428571,-0.142857143,0,0,0,0,0,0.035714286,2.392857143,1,0.53
0.29,78.57142857,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.57,312.2857143,-0.57,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
61.14,12852.57143,70.43,131.57,31094.57143,-110.2857143,21.28571429,1318.857143,8.428571429,29.71428571,3634,-11.28571429,18.42857143,2334.714286,50.25,9595.535714,1,3.98
0.14,388,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,3.142857143,2.14,2.43,293.4285714,1.571428571,4,1603.428571,-0.714285714,3.285714286,1287.857143,-2.714285714,0.571428571,21.14285714,2.571428571,801.4642857,1,2.90
0.71,32.28571429,-0.71,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.43,0,-0.43,0.00,0,0.142857143,0.142857143,-0.571428571,-0.142857143,0,0,0.428571429,0.428571429,6.142857143,0.142857143,1.392857143,1,0.38
0.14,-3.857142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
4.86,4009.285714,-2.86,2.00,1271.142857,0.285714286,2.285714286,1239.857143,3.142857143,5.428571429,3379.142857,-4.142857143,1.285714286,1044.428571,2.75,1733.642857,1,3.24
0.57,-21.85714286,-0.29,0.29,3.428571429,-0.142857143,0.142857143,2.714285714,0.142857143,0.285714286,4.285714286,0,0.285714286,-3,0.25,1.857142857,1,0.46
9.00,2532.142857,-5.57,3.43,233.4285714,4.571428571,8,-144.4285714,-5.428571429,2.571428571,805.2857143,2.857142857,5.428571429,-750.5714286,4.857142857,35.92857143,1,1.57
89.14,51277.14286,-41.86,47.29,23065.42857,-17,30.28571429,15058.71429,-19.71428571,10.57142857,4995.571429,-7.714285714,2.857142857,1135.428571,22.75,11063.78571,1,4.04
0.14,2366.285714,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
4.71,1684.428571,-0.14,4.57,1372.714286,-3.142857143,1.428571429,757.7142857,1.714285714,3.142857143,959.5714286,6.714285714,9.857142857,2461.714286,4.75,1387.928571,1,3.14
14.29,4856.142857,1.57,15.86,5677.571429,-4.714285714,11.14285714,2586.142857,-3.714285714,7.428571429,782.7142857,3,10.42857143,2580.571429,11.21428571,2906.75,1,3.46
